Extension,Files Count,Total Size (KB),Min Size (KB),Max Size (KB),Avg Size (KB),Total Lines,Min Lines,Max Lines,Avg Lines,Code Lines
bak,1,2.23,2.23,2.23,2.23,83,83,83,83,23
bat,1,2.84,2.84,2.84,2.84,94,94,94,94,73
dat,73,34.51,0.05,2.72,0.47,309,1,21,4,305
dat_old,15,26.71,0.91,2.72,1.78,241,2,31,16,238
gradle,1,0.16,0.16,0.16,0.16,9,9,9,9,8
html,1,0.87,0.87,0.87,0.87,1,1,1,1,1
java,285,1203.75,0.13,30.75,4.22,30741,4,677,107,22028
json,65,55.78,0.00,18.27,0.86,2665,0,1273,41,2657
lock,8,0.02,0.00,0.00,0.00,8,1,1,1,8
log,4,65.25,0.00,32.63,16.31,400,0,200,100,398
mca,108,120856.58,0.00,9146.37,1119.04,255019,0,52693,2361,251961
mcmeta,3,0.20,0.07,0.07,0.07,3,1,1,1,3
md,24,91.14,0.48,20.23,3.80,2148,10,625,89,1413
nbt,3,3.52,1.13,1.21,1.17,21,6,8,7,21
properties,2,2.25,0.25,2.00,1.13,46,7,39,23,23
sh,3,18.03,1.52,11.45,6.01,496,45,324,165,352
toml,6,12.19,0.58,4.26,2.03,282,8,129,47,73
txt,17,48.81,0.47,11.65,2.87,899,3,169,52,849

Total Statistics:
Total,620,122424.86,11.69,9290.44,1165.88,293465,275,56378,3201,null
